draft_season,overall_pick,resolution,cfbd_player_id,reason,evidence
2013,37,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=giovani bernard; candidate_count=0; candidate_cfbd_ids=none
2015,10,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=todd gurley; candidate_count=0; candidate_cfbd_ids=none
2015,40,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dorial green beckham; candidate_count=0; candidate_cfbd_ids=none
2015,76,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=chris conley; candidate_count=0; candidate_cfbd_ids=none
2015,77,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=duke johnson; candidate_count=0; candidate_cfbd_ids=none
2015,125,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=javorius allen; candidate_count=0; candidate_cfbd_ids=none
2015,139,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=rashad greene; candidate_count=0; candidate_cfbd_ids=none
2015,143,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=mycole pruitt; candidate_count=0; candidate_cfbd_ids=none
2015,159,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jj nelson; candidate_count=0; candidate_cfbd_ids=none
2015,171,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=nick boyle; candidate_count=0; candidate_cfbd_ids=none
2015,173,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=james o shaughnessy; candidate_count=0; candidate_cfbd_ids=none
2015,202,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=a j derby; candidate_count=0; candidate_cfbd_ids=none
2015,220,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=neal sterling; candidate_count=0; candidate_cfbd_ids=none
2015,230,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=marcus murphy; candidate_count=0; candidate_cfbd_ids=none
2015,245,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tre mcbride; candidate_count=0; candidate_cfbd_ids=none
2016,2,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=carson wentz; candidate_count=0; candidate_cfbd_ids=none
2016,21,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=will fuller; candidate_count=0; candidate_cfbd_ids=none
2016,47,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=michael thomas; candidate_count=2; candidate_cfbd_ids=3123986|534311
2016,85,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=braxton miller; candidate_count=0; candidate_cfbd_ids=none
2016,112,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=malcolm mitchell; candidate_count=0; candidate_cfbd_ids=none
2016,138,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=seth devalve; candidate_count=0; candidate_cfbd_ids=none
2016,156,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jonathan williams; candidate_count=0; candidate_cfbd_ids=none
2016,165,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tyreek hill; candidate_count=0; candidate_cfbd_ids=none
2016,177,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=temarrick hemingway; candidate_count=0; candidate_cfbd_ids=none
2016,180,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=moritz boehringer; candidate_count=0; candidate_cfbd_ids=none
2016,182,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=keenan reynolds; candidate_count=0; candidate_cfbd_ids=none
2016,206,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=mike thomas; candidate_count=0; candidate_cfbd_ids=none
2016,217,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=rico gathers; candidate_count=0; candidate_cfbd_ids=none
2016,231,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=thomas duarte; candidate_count=0; candidate_cfbd_ids=none
2016,236,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dwayne washington; candidate_count=0; candidate_cfbd_ids=none
2016,238,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=devin fuller; candidate_count=0; candidate_cfbd_ids=none
2016,242,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=keith marshall; candidate_count=0; candidate_cfbd_ids=none
2016,252,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=beau sandland; candidate_count=0; candidate_cfbd_ids=none
2017,2,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=mitchell trubisky; candidate_count=0; candidate_cfbd_ids=none
2017,40,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=curtis samuel; candidate_count=0; candidate_cfbd_ids=none
2017,45,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=adam shaheen; candidate_count=0; candidate_cfbd_ids=none
2017,121,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=joe williams; candidate_count=2; candidate_cfbd_ids=3912576|4066045
2017,174,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=eric saubert; candidate_count=0; candidate_cfbd_ids=none
2017,179,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=t j logan; candidate_count=0; candidate_cfbd_ids=none
2017,203,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=de angelo henderson; candidate_count=0; candidate_cfbd_ids=none
2017,207,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=brandon wilson; candidate_count=0; candidate_cfbd_ids=none
2017,226,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=david moore; candidate_count=0; candidate_cfbd_ids=none
2017,242,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=elijah hood; candidate_count=0; candidate_cfbd_ids=none
2018,31,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=sony michel; candidate_count=0; candidate_cfbd_ids=none
2018,35,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=nick chubb; candidate_count=0; candidate_cfbd_ids=none
2018,38,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=ronald jones; candidate_count=0; candidate_cfbd_ids=none
2018,49,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dallas goedert; candidate_count=0; candidate_cfbd_ids=none
2018,61,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dj chark; candidate_count=0; candidate_cfbd_ids=none
2018,98,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jordan akins; candidate_count=0; candidate_cfbd_ids=none
2018,105,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=antonio callaway; candidate_count=0; candidate_cfbd_ids=none
2018,107,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=chris herndon; candidate_count=0; candidate_cfbd_ids=none
2018,108,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=kyle lauletta; candidate_count=0; candidate_cfbd_ids=none
2018,144,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=justin watson; candidate_count=0; candidate_cfbd_ids=none
2018,165,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jaylen samuels; candidate_count=0; candidate_cfbd_ids=none
2018,196,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tremon smith; candidate_count=0; candidate_cfbd_ids=none
2018,204,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=trenton cannon; candidate_count=0; candidate_cfbd_ids=none
2018,237,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=nick bawden; candidate_count=0; candidate_cfbd_ids=none
2019,67,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jalen hurd; candidate_count=0; candidate_cfbd_ids=none
2019,166,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=easton stick; candidate_count=0; candidate_cfbd_ids=none
2019,220,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=cullen gillaspia; candidate_count=0; candidate_cfbd_ids=none
2019,233,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=chandler cox; candidate_count=0; candidate_cfbd_ids=none
2019,234,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=myles gaskin; candidate_count=0; candidate_cfbd_ids=none
2020,66,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=antonio gibson; candidate_count=0; candidate_cfbd_ids=none
2020,105,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=adam trautman; candidate_count=0; candidate_cfbd_ids=none
2020,120,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=la mical perine; candidate_count=0; candidate_cfbd_ids=none
2020,128,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=gabe davis; candidate_count=0; candidate_cfbd_ids=none
2020,244,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=nate stanley; candidate_count=0; candidate_cfbd_ids=none
2020,246,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=malcolm perry; candidate_count=0; candidate_cfbd_ids=none
2021,3,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=trey lance; candidate_count=0; candidate_cfbd_ids=none
2021,5,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=ja marr chase; candidate_count=0; candidate_cfbd_ids=none
2021,57,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tutu atwell; candidate_count=0; candidate_cfbd_ids=none
2021,89,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=nico collins; candidate_count=0; candidate_cfbd_ids=none
2021,150,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=kenneth gainwell; candidate_count=0; candidate_cfbd_ids=none
2021,168,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=zach davidson; candidate_count=0; candidate_cfbd_ids=none
2021,229,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=mike strachan; candidate_count=0; candidate_cfbd_ids=none
2022,34,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=christian watson; candidate_count=0; candidate_cfbd_ids=none
2022,143,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=chig okonkwo; candidate_count=0; candidate_cfbd_ids=none
2022,183,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=kevin harris; candidate_count=2; candidate_cfbd_ids=4570674|4887154
2022,192,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=andrew ogletree; candidate_count=0; candidate_cfbd_ids=none
2022,208,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=connor heyward; candidate_count=0; candidate_cfbd_ids=none
2022,233,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=dareke young; candidate_count=0; candidate_cfbd_ids=none
2022,247,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=skylar thompson; candidate_count=0; candidate_cfbd_ids=none
2022,251,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=isiah pacheco; candidate_count=0; candidate_cfbd_ids=none
2022,260,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=zander horvath; candidate_count=0; candidate_cfbd_ids=none
2023,69,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=tank dell; candidate_count=0; candidate_cfbd_ids=none
2023,84,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=de von achane; candidate_count=0; candidate_cfbd_ids=none
2023,150,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=justin shorter; candidate_count=2; candidate_cfbd_ids=4361426|4879059
2023,215,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=zach evans; candidate_count=2; candidate_cfbd_ids=4685035|4702901
2024,23,quarantine,,multiple_exact_name_position_candidates,RR-05 live identity review: normalized_name=brian thomas; candidate_count=2; candidate_cfbd_ids=4432773|5157545
2024,121,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=aj barner; candidate_count=0; candidate_cfbd_ids=none
2024,125,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=bucky irving; candidate_count=0; candidate_cfbd_ids=none
2024,128,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=ray davis; candidate_count=0; candidate_cfbd_ids=none
2024,170,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=bub means; candidate_count=0; candidate_cfbd_ids=none
2025,1,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=cam ward; candidate_count=0; candidate_cfbd_ids=none
2025,74,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=pat bryant; candidate_count=0; candidate_cfbd_ids=none
2025,105,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=cam skattebo; candidate_count=0; candidate_cfbd_ids=none
2025,116,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=woody marks; candidate_count=0; candidate_cfbd_ids=none
2025,158,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=keandre lambert smith; candidate_count=0; candidate_cfbd_ids=none
2025,245,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jacory croskey merritt; candidate_count=0; candidate_cfbd_ids=none
2026,24,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=kc concepcion; candidate_count=0; candidate_cfbd_ids=none
2026,122,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=mike washington; candidate_count=0; candidate_cfbd_ids=none
2026,143,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=reggie virgil; candidate_count=0; candidate_cfbd_ids=none
2026,197,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=cj daniels; candidate_count=0; candidate_cfbd_ids=none
2026,245,quarantine,,no_exact_name_and_position_candidate_in_prior_season,RR-05 live identity review: normalized_name=jam miller; candidate_count=0; candidate_cfbd_ids=none
